ref_ds,ref_fournisseur,libelle_source,groupe_articles,code_remise,code_barre,type_code_barre,source_ligne
94320,,Caisson MASTAIRCAL 300 Basse Consommation de 300m³/h Ø125mm,,,3419869432001,EAN13,2
70021408,,PP master 3+ réduction courte 40x32 noir,,,9010459437945,EAN13,3
70024364,,PP master 3+ réduction courte 50x32 noir,,,9010459547057,EAN13,4
1297050016,,Pipelife appareil à chanfreiner 32-50mm,,,7033731804107,EAN13,5
1297070081,,PP master 3+ réduction courte 90x50 noir,,,5414337062139,EAN13,6
1297070103,,PP master 3+ bouchon 40 noir,,,4052836146205,EAN13,7
1297180015,,,,,3607100032671,EAN13,8
1297180033,,,,,3607100033500,EAN13,9
1297180050,,,,,3607100031995,EAN13,10
1297180062,,,,,3607100036143,EAN13,11
1297180069,,,,,3607100035634,EAN13,12
1297180082,,,,,3607100035085,EAN13,13
1298328031,,,,,5414337101739,EAN13,14
1298328032,,,,,5414337101722,EAN13,15
1298622903,,,,,5414337103214,EAN13,16
1298632320,,"PP tuyau master 3+ 32x1.8 L-R noir 0,5m",,,5414337104686,EAN13,17
1298632321,,PP tuyau master 3+ 32x1.8 L-R noir 1m,,,5414337104693,EAN13,18
1298632322,,PP tuyau master 3+ 32x1.8 L-R noir  2m,,,5414337104716,EAN13,19
1298632400,,"PP tuyau master 3+ 40x1.8 L-R noir 0,5m",,,5414337104723,EAN13,20
1298632401,,PP tuyau master 3+ 40x1.8 L-R noir 1m,,,5414337104730,EAN13,21
1298632402,,PP tuyau master 3+ 40x1.8 L-R noir 2m,,,5414337104754,EAN13,22
1298632500,,"PP tuyau master 3+ 50x2.0 L-R noir 0,5m",,,5414337104761,EAN13,23
1298632501,,PP tuyau master 3+ 50x2.0 L-R noir 1m,,,5414337104778,EAN13,24
1298632502,,PP tuyau master 3+ 50x2.0 L-R noir 2m,,,5414337104792,EAN13,25
1298632901,,PP tuyau master 3+ 90x2.9 L-R noir 1m,,,5414337104846,EAN13,26
1298632902,,PP tuyau master 3+ 90x2.9 L-R noir 2m,,,5414337104860,EAN13,27
3496102494,,PP master 3+ coude M/F 45° 50 noir,,,5905485463041,EAN13,28
3496102494,,PP master 3+ coude M/F 45° 50 noir,,,5905485465656,EAN13,29
3496102496,,PP master 3+ coude M/F 90° 50 noir,,,5905485401586,EAN13,30
3496102496,,PP master 3+ coude M/F 90° 50 noir,,,5905485465670,EAN13,31
3496102500,,PP master 3+ manchon double 50 noir,,,5905485465717,EAN13,32
3496102509,,PP master 3+  Té M/F 90° 50 noir,,,5905485465809,EAN13,33
3496102510,,PP master 3+ Té F/F 90° 50 noir,,,5905485465816,EAN13,34
3496102524,,PP master 3+ coude siphon M/F 90 40 noir,,,5905485469166,EAN13,35
3496102531,,PP master 3+ coude M/F 45° 40 noir,,,5905485401487,EAN13,36
3496102531,,PP master 3+ coude M/F 45° 40 noir,,,5905485466035,EAN13,37
3496102532,,PP master 3+ coude F/F 45° 40 noir,,,5905485466042,EAN13,38
3496102535,,PP master 3+ coude M/F 90° 40 noir,,,5905485465953,EAN13,39
3496102536,,PP master 3+ coude F/F 90° 40 noir,,,5905485401524,EAN13,40
3496102537,,PP master 3+ coude F/F 45° 50 noir,,,5905485465960,EAN13,41
3496102539,,PP master 3+ coude F/F 90° 50 noir,,,5905485401593,EAN13,42
3496102539,,PP master 3+ coude F/F 90° 50 noir,,,5905485465984,EAN13,43
3496102552,,PP master 3+ coude M/F 45° 90 noir,,,5905485401944,EAN13,44
3496102552,,PP master 3+ coude M/F 45° 90 noir,,,5905485467452,EAN13,45
