articles_numero;photo_source;articles_photo;type_correspondance;statut;detail
00F000187;;;aucune;IGNOREE;
1_TEST;;;aucune;IGNOREE;
1297050016;C:\Users\p.bertho\Documents\generateur_etiquettes\Photos produits\1297050016.png;1297050016.png;exacte;OK;
1297070081;;;aucune;IGNOREE;
1297070103;;;aucune;IGNOREE;
1297180015;;;aucune;IGNOREE;
1297180033;;;aucune;IGNOREE;
1297180050;;;aucune;IGNOREE;
1297180062;;;aucune;IGNOREE;
1297180069;;;aucune;IGNOREE;
1297180082;;;aucune;IGNOREE;
1298328031;;;aucune;IGNOREE;
1298328032;;;aucune;IGNOREE;
1298622903;;;aucune;IGNOREE;
1298632320;;;aucune;IGNOREE;
1298632321;;;aucune;IGNOREE;
1298632322;;;aucune;IGNOREE;
1298632400;;;aucune;IGNOREE;
1298632401;;;aucune;IGNOREE;
1298632402;;;aucune;IGNOREE;
1298632500;;;aucune;IGNOREE;
1298632501;;;aucune;IGNOREE;
1298632502;;;aucune;IGNOREE;
1298632901;;;aucune;IGNOREE;
1298632902;;;aucune;IGNOREE;
2_TEST;;;aucune;IGNOREE;
3_TEST;;;aucune;IGNOREE;
3496102494;;;aucune;IGNOREE;
3496102496;;;aucune;IGNOREE;
3496102500;;;aucune;IGNOREE;
3496102509;;;aucune;IGNOREE;
3496102510;;;aucune;IGNOREE;
3496102524;;;aucune;IGNOREE;
3496102531;;;aucune;IGNOREE;
3496102532;;;aucune;IGNOREE;
3496102535;;;aucune;IGNOREE;
3496102536;;;aucune;IGNOREE;
3496102537;;;aucune;IGNOREE;
3496102539;;;aucune;IGNOREE;
3496102552;C:\Users\p.bertho\Documents\generateur_etiquettes\Photos produits\3496102552.png;3496102552.png;exacte;OK;
3496102556;;;aucune;IGNOREE;
3496102588;;;aucune;IGNOREE;
3496102597;;;aucune;IGNOREE;
3496102613;;;aucune;IGNOREE;
3496102637;;;aucune;IGNOREE;
3496102638;;;aucune;IGNOREE;
3496102640;;;aucune;IGNOREE;
3496102641;;;aucune;IGNOREE;
3496102647;;;aucune;IGNOREE;
3496102648;;;aucune;IGNOREE;
3496102669;;;aucune;IGNOREE;
3496102672;C:\Users\p.bertho\Documents\generateur_etiquettes\Photos produits\3496102672.png;3496102672.png;exacte;OK;
3496102758;;;aucune;IGNOREE;
3496102759;;;aucune;IGNOREE;
3496102763;;;aucune;IGNOREE;
3496102764;;;aucune;IGNOREE;
3496102861;;;aucune;IGNOREE;
3496102863;;;aucune;IGNOREE;
3496102864;;;aucune;IGNOREE;
3496102865;;;aucune;IGNOREE;
3496102866;;;aucune;IGNOREE;
3496102867;;;aucune;IGNOREE;
3496103112;;;aucune;IGNOREE;
3496103120;C:\Users\p.bertho\Documents\generateur_etiquettes\Photos produits\3496103120.png;3496103120.png;exacte;OK;
70021408;;;aucune;IGNOREE;
70024364;;;aucune;IGNOREE;
92169;;;aucune;IGNOREE;
